time,horizontal_distance,horizontal_distance_detrended,vertical_distance,vertical_distance_detrended
2025-10-04-08-19-03,70.307,-3.6815527638190844,12.397021032670047,-0.649157083163125
2025-10-04-08-19-04,71.81,-2.1785527638190842,12.66204048467487,-0.3841376311583016
2025-10-04-08-19-05,75.48400000000001,1.4954472361809223,13.309865811797772,0.2636876959646006
2025-10-04-08-19-06,76.152,2.1634472361809145,13.427652234911024,0.38147411907785234
2025-10-04-08-19-07,76.653,2.6644472361809193,13.515992052245966,0.4698139364127947
2025-10-04-08-19-08,76.82000000000001,2.831447236180921,13.545438658024281,0.4992605421911094
2025-10-04-08-19-09,76.98700000000001,2.9984472361809225,13.574885263802594,0.5287071479694223
2025-10-04-08-19-10,76.653,2.6644472361809193,13.515992052245966,0.4698139364127947
2025-10-04-08-19-11,68.804,-5.1845527638190845,12.132001580665225,-0.9141765351679467
2025-10-04-08-19-12,67.301,-6.687552763819085,11.866982128660402,-1.1791959871727702
2025-10-04-08-19-13,68.804,-5.1845527638190845,12.132001580665225,-0.9141765351679467
2025-10-04-08-19-14,72.47800000000001,-1.5105527638190779,12.779826907788125,-0.2663512080450463
2025-10-04-08-19-15,73.48,-0.5085527638190825,12.956506542458007,-0.08967157337516518
2025-10-04-08-19-16,74.315,0.3264472361809112,13.103739571349575,0.057561455516403015
2025-10-04-08-19-17,74.816,0.827447236180916,13.192079388684515,0.14590127285134358
2025-10-04-08-19-18,74.649,0.6604472361809144,13.162632782906202,0.11645466707303065
2025-10-04-08-19-19,74.482,0.4934472361809128,13.133186177127888,0.08700806129471594
2025-10-04-08-19-20,73.98100000000001,-0.007552763819077768,13.044846359792949,-0.0013317560402228423
2025-10-04-08-19-21,70.641,-3.347552763819081,12.455914244226676,-0.5902638716064956
2025-10-04-08-19-22,72.47800000000001,-1.5105527638190779,12.779826907788125,-0.2663512080450463
2025-10-04-08-19-23,75.31700000000001,1.3284472361809208,13.280419206019458,0.23424109018628592
2025-10-04-08-19-24,75.65100000000001,1.662447236180924,13.339312417576085,0.29313430174291355
2025-10-04-08-19-25,75.818,1.8294472361809113,13.368759023354396,0.3225809075212247
2025-10-04-08-19-26,76.152,2.1634472361809145,13.427652234911024,0.38147411907785234
2025-10-04-08-19-27,76.319,2.330447236180916,13.457098840689339,0.41092072485616704
2025-10-04-08-19-28,75.818,1.8294472361809113,13.368759023354396,0.3225809075212247
2025-10-04-08-19-29,69.63900000000001,-4.3495527638190765,12.279234609556795,-0.7669435062763768
2025-10-04-08-19-30,70.641,-3.347552763819081,12.455914244226676,-0.5902638716064956
2025-10-04-08-19-31,71.977,-2.0115527638190827,12.691487090453185,-0.35469102537998687
2025-10-04-08-19-32,73.313,-0.6755527638190841,12.927059936679694,-0.11911817915347811
2025-10-04-08-19-33,73.98100000000001,-0.007552763819077768,13.044846359792949,-0.0013317560402228423
2025-10-04-08-19-34,75.31700000000001,1.3284472361809208,13.280419206019458,0.23424109018628592
2025-10-04-08-19-35,75.65100000000001,1.662447236180924,13.339312417576085,0.29313430174291355
2025-10-04-08-19-36,75.65100000000001,1.662447236180924,13.339312417576085,0.29313430174291355
2025-10-04-08-19-37,75.818,1.8294472361809113,13.368759023354396,0.3225809075212247
2025-10-04-08-19-38,73.98100000000001,-0.007552763819077768,13.044846359792949,-0.0013317560402228423
2025-10-04-08-19-39,73.48,-0.5085527638190825,12.956506542458007,-0.08967157337516518
2025-10-04-08-19-40,69.63900000000001,-4.3495527638190765,12.279234609556795,-0.7669435062763768
2025-10-04-08-19-41,71.81,-2.1785527638190842,12.66204048467487,-0.3841376311583016
2025-10-04-08-19-42,72.47800000000001,-1.5105527638190779,12.779826907788125,-0.2663512080450463
2025-10-04-08-19-43,75.15,1.1614472361809192,13.250972600241145,0.204794484407973
2025-10-04-08-19-44,76.653,2.6644472361809193,13.515992052245966,0.4698139364127947
2025-10-04-08-19-45,76.98700000000001,2.9984472361809225,13.574885263802594,0.5287071479694223
2025-10-04-08-19-46,76.82000000000001,2.831447236180921,13.545438658024281,0.4992605421911094
2025-10-04-08-19-47,76.653,2.6644472361809193,13.515992052245966,0.4698139364127947
2025-10-04-08-19-48,76.486,2.4974472361809177,13.486545446467654,0.44036733063448175
2025-10-04-08-19-49,66.299,-7.68955276381908,11.69030249399052,-1.3558756218426513
2025-10-04-08-19-50,70.97500000000001,-3.013552763819078,12.514807455783304,-0.531370660049868
2025-10-04-08-19-51,73.647,-0.34155276381908095,12.985953148236321,-0.060224967596850476
2025-10-04-08-19-52,75.15,1.1614472361809192,13.250972600241145,0.204794484407973
2025-10-04-08-19-53,75.48400000000001,1.4954472361809223,13.309865811797772,0.2636876959646006
2025-10-04-08-19-54,74.482,0.4934472361809128,13.133186177127888,0.08700806129471594
2025-10-04-08-19-55,72.47800000000001,-1.5105527638190779,12.779826907788125,-0.2663512080450463
2025-10-04-08-19-56,70.474,-3.5145527638190828,12.426467638448361,-0.6197104773848103
2025-10-04-08-19-57,69.63900000000001,-4.3495527638190765,12.279234609556795,-0.7669435062763768
2025-10-04-08-19-58,67.301,-6.687552763819085,11.866982128660402,-1.1791959871727702
2025-10-04-08-19-59,65.798,-8.190552763819085,11.601962676655578,-1.4442154391775937
2025-10-04-08-20-00,71.14200000000001,-2.8465527638190764,12.544254061561617,-0.5019240542715551
2025-10-04-08-20-01,73.81400000000001,-0.17455276381907936,13.015399754014634,-0.030778361818537547
2025-10-04-08-20-02,74.14800000000001,0.15944723618092382,13.074292965571264,0.028114849738091863
2025-10-04-08-20-03,74.315,0.3264472361809112,13.103739571349575,0.057561455516403015
2025-10-04-08-20-04,73.313,-0.6755527638190841,12.927059936679694,-0.11911817915347811
2025-10-04-08-20-05,74.983,0.9944472361809176,13.22152599446283,0.17534787862965828
2025-10-04-08-20-06,79.492,5.503447236180918,14.016584350477299,0.9704062346441269
2025-10-04-08-20-07,82.99900000000001,9.010447236180923,14.634963071821886,1.5887849559887144
2025-10-04-08-20-08,85.17,11.181447236180915,15.017768946939963,1.9715908311067913
2025-10-04-08-20-09,87.842,13.853447236180912,15.48891463939298,2.442736523559809
2025-10-04-08-20-10,88.51,14.521447236180919,15.606701062506236,2.560522946673064
2025-10-04-08-20-11,88.009,14.020447236180914,15.518361245171294,2.472183129338122
2025-10-04-08-20-12,87.007,13.018447236180918,15.341681610501412,2.2955034946682407
2025-10-04-08-20-13,86.00500000000001,12.016447236180923,15.165001975831531,2.1188238599983595
2025-10-04-08-20-14,85.003,11.014447236180914,14.988322341161648,1.9421442253284766
2025-10-04-08-20-15,74.14800000000001,0.15944723618092382,13.074292965571264,0.028114849738091863
2025-10-04-08-20-16,74.482,0.4934472361809128,13.133186177127888,0.08700806129471594
2025-10-04-08-20-17,74.14800000000001,0.15944723618092382,13.074292965571264,0.028114849738091863
2025-10-04-08-20-18,73.48,-0.5085527638190825,12.956506542458007,-0.08967157337516518
2025-10-04-08-20-19,71.476,-2.5125527638190874,12.603147273118243,-0.4430308427149292
2025-10-04-08-20-20,70.641,-3.347552763819081,12.455914244226676,-0.5902638716064956
2025-10-04-08-20-21,70.307,-3.6815527638190844,12.397021032670047,-0.649157083163125
