frequency_hz,psd
0.00390625,4.947604642699905
0.0078125,3.70607788452309
0.01171875,2.446463645518548
0.015625,3.3612544437397407
0.01953125,6.791336572854655
0.0234375,5.591677983745117
0.02734375,3.7134967133700827
0.03125,3.2665045992260393
0.03515625,3.004630214852256
0.0390625,2.0618920217030623
0.04296875,3.370800210906238
0.046875,4.816000630874508
0.05078125,2.6681589328818567
0.0546875,3.7238010780488047
0.05859375,4.639204602901703
0.0625,5.036410198712453
0.06640625,1.4972272891597642
0.0703125,1.5150786567763523
0.07421875,3.1998177719114635
0.078125,0.5683835084031831
0.08203125,1.338923459589538
0.0859375,2.4243040781673333
0.08984375,1.9650242388810029
0.09375,4.7200224820477
0.09765625,6.893212207444403
0.1015625,5.420040715513579
0.10546875,2.9650618643000137
0.109375,1.832143466231855
0.11328125,1.0910210572334327
0.1171875,0.5642993362683755
0.12109375,0.22134729865272415
0.125,0.3180408465127935
0.12890625,1.6008464928653587
0.1328125,1.5767816596436919
0.13671875,0.40434893250766707
0.140625,0.14149030904137996
0.14453125,0.24097637704783048
0.1484375,0.4257355792298674
0.15234375,0.396876363014677
0.15625,0.7319807152249348
0.16015625,0.7108478702424103
0.1640625,0.4273199992981455
0.16796875,0.19164997806394277
0.171875,0.3715951074413459
0.17578125,0.5315766538666322
0.1796875,0.07142463250853266
0.18359375,0.5056057091389351
0.1875,0.27257399580141456
0.19140625,0.4095075429822339
0.1953125,0.44614736573145036
0.19921875,0.5256513387507372
0.203125,0.4059494913092012
0.20703125,0.5896678412032694
0.2109375,0.20745328919613581
0.21484375,0.05133272708194627
0.21875,0.21960145521670912
0.22265625,0.42547184794084386
0.2265625,0.3572748871799238
0.23046875,0.06516243466808483
0.234375,0.15706008232752824
0.23828125,0.09691903567817961
0.2421875,0.11623414550632223
0.24609375,0.1747177933803121
0.25,0.09481728026896075
0.25390625,0.12614034829418186
0.2578125,0.2421467381378916
0.26171875,0.19569015654318786
0.265625,0.12246200651211626
0.26953125,0.09862803937732832
0.2734375,0.062315825067047616
0.27734375,0.1094318082273168
0.28125,0.10851524251896326
0.28515625,0.07895029767480084
0.2890625,0.07808736136809863
0.29296875,0.2810860899441641
0.296875,0.13832676840558647
0.30078125,0.035168225766887516
0.3046875,0.03504426469078848
0.30859375,0.04541538855786722
0.3125,0.040241631694890416
0.31640625,0.10016998084102192
0.3203125,0.25761477447767206
0.32421875,0.06694131784104847
0.328125,0.1246676087204962
0.33203125,0.14929853843826174
0.3359375,0.01633489072216181
0.33984375,0.13808623705831732
0.34375,0.1580098815935883
0.34765625,0.0800226635617059
0.3515625,0.04590595596022209
0.35546875,0.04828759880131519
0.359375,0.03648766814007845
0.36328125,0.12996671507103308
0.3671875,0.08818698466135222
0.37109375,0.03834913914064355
0.375,0.031335709535726015
0.37890625,0.01757358439007553
0.3828125,0.038587858393465034
0.38671875,0.057566117833839005
0.390625,0.1025949062985058
0.39453125,0.11468602624478356
0.3984375,0.06618726551311249
0.40234375,0.03772863747326468
0.40625,0.0401375319667299
0.41015625,0.11177431229556167
0.4140625,0.07227799641896686
0.41796875,0.037686875492694664
0.421875,0.05406718636562414
0.42578125,0.07777875589602061
0.4296875,0.2183652468769691
0.43359375,0.14430262012918235
0.4375,0.12782280520487274
0.44140625,0.08605298797913881
0.4453125,0.04352536291001794
0.44921875,0.02428615238553404
0.453125,0.05371707154724453
0.45703125,0.11412965320835862
0.4609375,0.1134816978719107
0.46484375,0.02403874159267959
0.46875,0.07833540722005942
0.47265625,0.11119275069216239
0.4765625,0.093538974408934
0.48046875,0.055221554110350644
0.484375,0.021627379705246908
0.48828125,0.023610378854155765
0.4921875,0.07868854019188871
0.49609375,0.16799529004742622
0.5,0.03510839185170121
