Image_name,Pixel_X,Pixel_Y,GCP_ID,camera,Real_X,Real_Y,Real_Z,EPSG
GCP_2_cam2.bmp,1261,1470,GCP_2,cam2,453870.4796970855,6071777.576940609,4.183,32632
GCP_3_cam2.bmp,1832,1215,GCP_3,cam2,453870.6382360527,6071802.519600633,4.166,32632
GCP_4_cam2.bmp,2262,1043,GCP_4,cam2,453871.88665608363,6071826.20918281,4.325,32632
GCP_5_cam2.bmp,2565,913,GCP_5,cam2,453872.34439344506,6071852.295007597,4.241,32632
