filename,datetime,feature_class,aoi,Hue_mean,Saturation_mean,Value_mean,Hue_std,Saturation_std,Value_std,Hue_median,Saturation_median,Value_median,Hue_p05,Saturation_p05,Value_p05,Hue_p95,Saturation_p95,Value_p95
2025_10_19_09_37-09_47.tif,2025-10-19 09:37:00,beach,no,62.221,140.617,173.033,46.144,48.725,50.430,101.000,146.000,145.000,7.000,65.000,122.000,109.000,227.000,255.000
2025_10_20_09_41-09_51.tif,2025-10-20 09:41:00,beach,no,69.804,79.561,157.204,47.828,33.952,43.439,107.000,71.000,149.000,6.000,34.000,90.000,115.000,133.000,231.000
2025_10_21_09_38-09_48.tif,2025-10-21 09:38:00,beach,no,69.290,69.316,146.044,48.022,24.228,44.335,104.000,64.000,152.000,7.000,35.000,58.000,112.000,111.000,217.000
