filename,datetime,feature_class,aoi,L*_mean,a*_mean,b*_mean,L*_std,a*_std,b*_std,L*_median,a*_median,b*_median,L*_p05,a*_p05,b*_p05,L*_p95,a*_p95,b*_p95
2025_10_19_09_37-09_47.tif,2025-10-19 09:37:00,beach,no,137.182,134.152,126.186,49.532,8.687,30.443,110.000,132.000,113.000,85.000,123.000,91.000,219.000,148.000,172.000
2025_10_20_09_41-09_51.tif,2025-10-20 09:41:00,beach,no,140.508,130.191,126.888,39.269,7.074,18.890,129.000,130.000,117.000,87.000,116.000,102.000,208.000,141.000,158.000
2025_10_21_09_38-09_48.tif,2025-10-21 09:38:00,beach,no,133.189,129.981,126.762,38.573,5.381,14.603,137.000,128.000,119.000,55.000,124.000,107.000,194.000,140.000,150.000
