filename,datetime,feature_class,aoi,Red_mean,Green_mean,Blue_mean,Red_std,Green_std,Blue_std,Red_median,Green_median,Blue_median,Red_p05,Green_p05,Blue_p05,Red_p95,Green_p95,Blue_p95
2025_10_19_09_37-09_47.tif,2025-10-19 09:37:00,beach,no,125.717,126.735,130.700,88.670,45.016,39.785,94.000,103.000,138.000,15.000,79.000,54.000,255.000,205.000,184.000
2025_10_20_09_41-09_51.tif,2025-10-20 09:41:00,beach,no,132.606,131.588,134.221,54.653,36.667,43.101,110.000,120.000,144.000,71.000,83.000,50.000,231.000,195.000,195.000
2025_10_21_09_38-09_48.tif,2025-10-21 09:38:00,beach,no,125.546,124.508,127.769,45.556,36.165,45.222,116.000,129.000,144.000,55.000,51.000,44.000,213.000,182.000,191.000
