x,y,z
453825.4311906862,6071965.085759091,0.44
453825.43128007924,6071966.088494018,0.44
453825.5980328421,6071967.022257694,0.44
453825.73527018446,6071967.968235905,0.44
453825.76487499796,6071968.958756297,0.44
453825.9316277608,6071969.892519973,0.44
453825.9317171539,6071970.895254899,0.44
453826.0984699167,6071971.829018575,0.44
453826.2161510004,6071972.783089863,0.44
453826.26529976394,6071973.627449018,0.44
453826.59356625925,6071974.4943725495,0.44
453826.43212961114,6071975.425879462,0.44
453826.4322190042,6071976.428614387,0.44
453826.43230839726,6071977.431349313,0.44
453826.5990488514,6071978.22704483,0.44
453826.5991382445,6071979.229779757,0.44
453826.5992276376,6071980.232514682,0.44
453826.59931703063,6071981.235249608,0.44
453826.7660697935,6071982.169013284,0.44
453826.76615918655,6071983.171748211,0.44
453826.7662485796,6071984.174483136,0.44
453826.7663379727,6071985.177218062,0.44
453826.7664273658,6071986.1799529875,0.44
453826.5998410805,6071987.113591003,0.44
453826.7665938433,6071988.04735468,0.44
453826.76668323635,6071989.050089606,0.44
453826.7667726294,6071990.052824532,0.44
453826.7668620225,6071991.055559457,0.44
453826.76695141563,6071992.058294383,0.44
453826.7670408086,6071993.061029309,0.44
453826.76713020174,6071994.063764235,0.44
453826.76721959485,6071995.066499161,0.44
453826.7673089879,6071996.069234086,0.44
453826.76739838097,6071997.071969012,0.44
453826.6008120956,6071998.005607028,0.44
453826.60090148874,6071999.008341954,0.44
453826.60099088185,6072000.01107688,0.44
453826.6010802749,6072001.013811805,0.44
453826.60116966796,6072002.016546731,0.44
453826.60124675237,6072002.881213497,0.44
453826.6013361455,6072003.883948423,0.44
453826.43474986014,6072004.817586439,0.44
453826.43483925326,6072005.820321365,0.44
453826.5442483144,6072006.777815911,0.44
453826.26833005226,6072007.6186261475,0.44
453826.2684194454,6072008.621361073,0.44
453826.1018208513,6072009.41693093,0.44
453826.25747311814,6072010.346092795,0.44
453825.93531165045,6072011.215235711,0.44
453825.93538873486,6072012.0799024785,0.44
453825.7688024495,6072013.013540494,0.44
453825.73796026444,6072013.865389397,0.44
453825.60229324864,6072014.811845276,0.44
453825.7141131858,6072015.722836053,0.44
453825.43578404764,6072016.610150058,0.44
453825.43587344076,6072017.612884984,0.44
453825.45256296394,6072018.484438587,0.44
453825.2693642398,6072019.411189767,0.44
453825.26945363294,6072020.413924692,0.44
453825.3089674158,6072021.294940298,0.44
453825.10294443194,6072022.212229474,0.44
453825.10303382506,6072023.2149644,0.44
453824.9364475397,6072024.148602416,0.44
453824.93653693283,6072025.151337341,0.44
453824.7699506475,6072026.084975357,0.44
453824.60336436215,6072027.018613373,0.44
453824.5684233175,6072027.8687630575,0.44
453824.42841536,6072028.675356302,0.44
453824.2884074019,6072029.481949548,0.44
453824.0304447699,6072030.239643616,0.44
453824.0083914858,6072031.095136038,0.44
453823.77046078525,6072031.999197581,0.44
453823.6038744999,6072032.932835597,0.44
453823.43728821457,6072033.866473612,0.44
453823.4114429359,6072034.858457086,0.44
453823.2707913223,6072035.802846554,0.44
453823.10420503694,6072036.7364845695,0.44
453822.93760644295,6072037.532054426,0.44
