latitude,longitude,elevation,GCP_ID
54.79106376,8.282588494,4.183,GCP_2
54.79128791,8.282586991,4.166,GCP_3
54.7915009,8.282602636,4.325,GCP_4
54.79173535,8.282605604,4.241,GCP_5
